Timestamp,Distance (cm)
2025-04-28 19:43:54.046,14.0
2025-04-28 19:43:54.170,13.0
2025-04-28 19:43:54.294,14.0
2025-04-28 19:43:54.417,13.0
2025-04-28 19:43:54.541,13.0
2025-04-28 19:43:54.664,13.0
2025-04-28 19:43:54.788,13.0
2025-04-28 19:43:54.912,15.0
2025-04-28 19:43:55.035,13.0
2025-04-28 19:43:55.159,13.0
2025-04-28 19:43:55.283,13.0
2025-04-28 19:43:55.406,13.0
2025-04-28 19:43:55.530,13.0
2025-04-28 19:43:55.654,14.0
2025-04-28 19:43:55.777,14.0
2025-04-28 19:43:55.901,14.0
2025-04-28 19:43:56.025,13.0
2025-04-28 19:43:56.148,14.0
2025-04-28 19:43:56.272,14.0
2025-04-28 19:43:56.396,14.0
2025-04-28 19:43:56.519,12.0
2025-04-28 19:43:56.643,13.0
2025-04-28 19:43:56.767,13.0
2025-04-28 19:43:56.890,17.0
2025-04-28 19:43:57.014,15.0
2025-04-28 19:43:57.138,13.0
2025-04-28 19:43:57.262,15.0
2025-04-28 19:43:57.386,15.0
2025-04-28 19:43:57.510,15.0
2025-04-28 19:43:57.633,15.0
2025-04-28 19:43:57.757,15.0
2025-04-28 19:43:57.881,14.0
2025-04-28 19:43:58.005,14.0
2025-04-28 19:43:58.129,13.0
2025-04-28 19:43:58.252,15.0
2025-04-28 19:43:58.376,15.0
2025-04-28 19:43:58.500,15.0
2025-04-28 19:43:58.624,14.0
2025-04-28 19:43:58.748,15.0
2025-04-28 19:43:58.872,14.0
2025-04-28 19:43:58.995,17.0
2025-04-28 19:43:59.119,14.0
2025-04-28 19:43:59.243,14.0
2025-04-28 19:43:59.366,15.0
2025-04-28 19:43:59.490,14.0
2025-04-28 19:43:59.613,14.0
2025-04-28 19:43:59.737,14.0
2025-04-28 19:43:59.861,13.0
2025-04-28 19:43:59.984,14.0
2025-04-28 19:44:00.108,14.0
2025-04-28 19:44:00.232,15.0
2025-04-28 19:44:00.355,13.0
2025-04-28 19:44:00.479,13.0
2025-04-28 19:44:00.602,14.0
2025-04-28 19:44:00.726,13.0
2025-04-28 19:44:00.850,14.0
2025-04-28 19:44:00.973,14.0
2025-04-28 19:44:01.097,17.0
2025-04-28 19:44:01.221,14.0
2025-04-28 19:44:01.344,15.0
2025-04-28 19:44:01.468,14.0
2025-04-28 19:44:01.591,17.0
2025-04-28 19:44:01.715,14.0
2025-04-28 19:44:01.839,15.0
2025-04-28 19:44:01.962,14.0
2025-04-28 19:44:02.086,13.0
2025-04-28 19:44:02.210,15.0
2025-04-28 19:44:02.333,15.0
2025-04-28 19:44:02.457,14.0
2025-04-28 19:44:02.580,13.0
2025-04-28 19:44:02.704,14.0
2025-04-28 19:44:02.827,13.0
2025-04-28 19:44:02.951,14.0
2025-04-28 19:44:03.075,14.0
2025-04-28 19:44:03.198,14.0
2025-04-28 19:44:03.322,10.0
2025-04-28 19:44:03.446,13.0
2025-04-28 19:44:03.569,14.0
2025-04-28 19:44:03.693,13.0
2025-04-28 19:44:03.816,13.0
2025-04-28 19:44:03.940,14.0
2025-04-28 19:44:04.064,13.0
2025-04-28 19:44:04.187,13.0
2025-04-28 19:44:04.311,14.0
2025-04-28 19:44:04.434,14.0
2025-04-28 19:44:04.558,13.0
2025-04-28 19:44:04.682,13.0
2025-04-28 19:44:04.805,13.0
2025-04-28 19:44:04.929,14.0
2025-04-28 19:44:05.052,13.0
2025-04-28 19:44:05.176,14.0
2025-04-28 19:44:05.300,13.0
2025-04-28 19:44:05.423,13.0
2025-04-28 19:44:05.547,14.0
2025-04-28 19:44:05.670,13.0
2025-04-28 19:44:05.794,14.0
2025-04-28 19:44:05.918,14.0
2025-04-28 19:44:06.041,15.0
2025-04-28 19:44:06.165,15.0
2025-04-28 19:44:06.289,13.0
2025-04-28 19:44:06.412,14.0
2025-04-28 19:44:06.536,14.0
2025-04-28 19:44:06.660,14.0
2025-04-28 19:44:06.784,12.0
2025-04-28 19:44:06.907,14.0
2025-04-28 19:44:07.031,14.0
2025-04-28 19:44:07.155,13.0
2025-04-28 19:44:07.278,14.0
2025-04-28 19:44:07.402,14.0
2025-04-28 19:44:07.525,14.0
2025-04-28 19:44:07.649,14.0
2025-04-28 19:44:07.773,14.0
2025-04-28 19:44:07.896,14.0
2025-04-28 19:44:08.020,14.0
2025-04-28 19:44:08.144,14.0
2025-04-28 19:44:08.267,13.0
2025-04-28 19:44:08.391,13.0
2025-04-28 19:44:08.515,14.0
2025-04-28 19:44:08.638,14.0
2025-04-28 19:44:08.762,13.0
2025-04-28 19:44:08.886,13.0
2025-04-28 19:44:09.009,12.0
2025-04-28 19:44:09.133,14.0
2025-04-28 19:44:09.257,14.0
2025-04-28 19:44:09.380,13.0
2025-04-28 19:44:09.504,15.0
2025-04-28 19:44:09.628,13.0
2025-04-28 19:44:09.751,13.0
2025-04-28 19:44:09.875,14.0
2025-04-28 19:44:09.998,15.0
2025-04-28 19:44:10.122,13.0
2025-04-28 19:44:10.246,13.0
2025-04-28 19:44:10.369,13.0
2025-04-28 19:44:10.493,14.0
2025-04-28 19:44:10.616,13.0
2025-04-28 19:44:10.740,10.0
2025-04-28 19:44:10.864,15.0
2025-04-28 19:44:10.987,13.0
2025-04-28 19:44:11.111,14.0
2025-04-28 19:44:11.234,13.0
2025-04-28 19:44:11.358,13.0
2025-04-28 19:44:11.481,13.0
2025-04-28 19:44:11.605,15.0
2025-04-28 19:44:11.728,13.0
2025-04-28 19:44:11.852,13.0
2025-04-28 19:44:11.976,14.0
2025-04-28 19:44:12.099,13.0
2025-04-28 19:44:12.223,13.0
2025-04-28 19:44:12.347,13.0
2025-04-28 19:44:12.470,14.0
2025-04-28 19:44:12.594,14.0
2025-04-28 19:44:12.717,14.0
2025-04-28 19:44:12.841,12.0
2025-04-28 19:44:12.965,13.0
2025-04-28 19:44:13.088,13.0
2025-04-28 19:44:13.212,14.0
2025-04-28 19:44:13.336,13.0
2025-04-28 19:44:13.459,14.0
2025-04-28 19:44:13.583,14.0
2025-04-28 19:44:13.707,14.0
2025-04-28 19:44:13.830,12.0
2025-04-28 19:44:13.954,14.0
2025-04-28 19:44:14.077,14.0
2025-04-28 19:44:14.201,14.0
2025-04-28 19:44:14.325,14.0
2025-04-28 19:44:14.448,13.0
2025-04-28 19:44:14.572,14.0
2025-04-28 19:44:14.696,14.0
2025-04-28 19:44:14.819,13.0
2025-04-28 19:44:14.943,13.0
2025-04-28 19:44:15.067,15.0
2025-04-28 19:44:15.191,13.0
2025-04-28 19:44:15.315,13.0
2025-04-28 19:44:15.438,15.0
2025-04-28 19:44:15.562,13.0
2025-04-28 19:44:15.685,15.0
2025-04-28 19:44:15.809,14.0
2025-04-28 19:44:15.933,13.0
2025-04-28 19:44:16.056,14.0
2025-04-28 19:44:16.180,13.0
2025-04-28 19:44:16.304,13.0
2025-04-28 19:44:16.427,12.0
2025-04-28 19:44:16.551,14.0
2025-04-28 19:44:16.675,12.0
2025-04-28 19:44:16.798,15.0
2025-04-28 19:44:16.922,14.0
2025-04-28 19:44:17.046,14.0
2025-04-28 19:44:17.169,13.0
2025-04-28 19:44:17.293,14.0
2025-04-28 19:44:17.417,13.0
2025-04-28 19:44:17.540,14.0
2025-04-28 19:44:17.664,14.0
2025-04-28 19:44:17.787,14.0
2025-04-28 19:44:17.911,13.0
2025-04-28 19:44:18.035,12.0
2025-04-28 19:44:18.159,14.0
2025-04-28 19:44:18.282,12.0
2025-04-28 19:44:18.406,14.0
2025-04-28 19:44:18.530,14.0
2025-04-28 19:44:18.653,14.0
2025-04-28 19:44:18.777,13.0
2025-04-28 19:44:18.901,13.0
2025-04-28 19:44:19.024,13.0
2025-04-28 19:44:19.148,14.0
2025-04-28 19:44:19.271,13.0
2025-04-28 19:44:19.395,14.0
2025-04-28 19:44:19.519,14.0
2025-04-28 19:44:19.642,13.0
2025-04-28 19:44:19.766,14.0
2025-04-28 19:44:19.890,13.0
2025-04-28 19:44:20.013,14.0
2025-04-28 19:44:20.137,14.0
2025-04-28 19:44:20.260,13.0
2025-04-28 19:44:20.384,14.0
2025-04-28 19:44:20.507,14.0
2025-04-28 19:44:20.631,14.0
2025-04-28 19:44:20.755,14.0
2025-04-28 19:44:20.878,14.0
